baseline,n,tp,fp,fn,tn,precision,recall,f1,balanced_accuracy,mcc,severity_weighted_recall,split
majority_negative,510,0,0,190,320,0.0,0.0,0.0,0.5,0.0,0.0,all
rank_only_metadata,510,190,0,0,320,1.0,1.0,1.0,1.0,1.0,1.0,all
lexical_only,510,145,26,45,294,0.848,0.7632,0.8033,0.841,0.6984,0.7439,all
shacl_type_sim,510,190,0,0,320,1.0,1.0,1.0,1.0,1.0,1.0,all
metadata_free_text,510,140,18,50,302,0.8861,0.7368,0.8046,0.8403,0.7116,0.7073,all
hybrid_rank_lexical,510,190,26,0,294,0.8796,1.0,0.936,0.9594,0.899,1.0,all
majority_negative,292,0,0,105,187,0.0,0.0,0.0,0.5,0.0,0.0,train
rank_only_metadata,292,105,0,0,187,1.0,1.0,1.0,1.0,1.0,1.0,train
lexical_only,292,81,17,24,170,0.8265,0.7714,0.798,0.8403,0.6916,0.7533,train
shacl_type_sim,292,105,0,0,187,1.0,1.0,1.0,1.0,1.0,1.0,train
metadata_free_text,292,78,11,27,176,0.8764,0.7429,0.8041,0.842,0.7131,0.7137,train
hybrid_rank_lexical,292,105,17,0,170,0.8607,1.0,0.9251,0.9545,0.8845,1.0,train
majority_negative,107,0,0,41,66,0.0,0.0,0.0,0.5,0.0,0.0,dev
rank_only_metadata,107,41,0,0,66,1.0,1.0,1.0,1.0,1.0,1.0,dev
lexical_only,107,30,2,11,64,0.9375,0.7317,0.8219,0.8507,0.7448,0.7126,dev
shacl_type_sim,107,41,0,0,66,1.0,1.0,1.0,1.0,1.0,1.0,dev
metadata_free_text,107,30,2,11,64,0.9375,0.7317,0.8219,0.8507,0.7448,0.7126,dev
hybrid_rank_lexical,107,41,2,0,64,0.9535,1.0,0.9762,0.9848,0.9616,1.0,dev
majority_negative,111,0,0,44,67,0.0,0.0,0.0,0.5,0.0,0.0,test
rank_only_metadata,111,44,0,0,67,1.0,1.0,1.0,1.0,1.0,1.0,test
lexical_only,111,34,7,10,60,0.8293,0.7727,0.8,0.8341,0.6773,0.75,test
shacl_type_sim,111,44,0,0,67,1.0,1.0,1.0,1.0,1.0,1.0,test
metadata_free_text,111,32,5,12,62,0.8649,0.7273,0.7901,0.8263,0.6772,0.6875,test
hybrid_rank_lexical,111,44,7,0,60,0.8627,1.0,0.9263,0.9478,0.879,1.0,test
