row,vowel,source_token,layer,derived_token
f/v,a,f/v+a,source_observed_combined,
f/v,i,f/v+i,source_observed_combined,
f/v,o,f/v+o,source_observed_combined,
f/v,u,f/v+u,source_observed_combined,
f/v,e,f/v+e,source_observed_combined,
f/v,ị,f/v+ị,source_observed_combined,
f/v,ọ,f/v+ọ,source_observed_combined,
f/v,ụ,f/v+ụ,source_observed_combined,
f,a,,derived_f_v_split,fa
f,i,,derived_f_v_split,fi
f,o,,derived_f_v_split,fo
f,u,,derived_f_v_split,fu
f,e,,derived_f_v_split,fe
f,ị,,derived_f_v_split,fị
f,ọ,,derived_f_v_split,fọ
f,ụ,,derived_f_v_split,fụ
v,a,,derived_f_v_split,va
v,i,,derived_f_v_split,vi
v,o,,derived_f_v_split,vo
v,u,,derived_f_v_split,vu
v,e,,derived_f_v_split,ve
v,ị,,derived_f_v_split,vị
v,ọ,,derived_f_v_split,vọ
v,ụ,,derived_f_v_split,vụ
